Labels	Kmax	DIC	Trend_Degree	Model
IndivPL+MLMedit15_RUN_000044	04	9050.7	1	BYM
IndivPL+MLMedit15_RUN_000045	04	9160.62	1	BYM
IndivPL+MLMedit15_RUN_000046	05	8984.87	1	BYM
IndivPL+MLMedit15_RUN_000047	05	8955.36	1	BYM
IndivPL+MLMedit15_RUN_000048	05	9095.33	1	BYM
IndivPL+MLMedit15_RUN_000049	05	9128.56	1	BYM
IndivPL+MLMedit15_RUN_000050	05	9044.94	1	BYM
IndivPL+MLMedit15_RUN_000051	05	8955.24	1	BYM
IndivPL+MLMedit15_RUN_000052	05	9106.12	1	BYM
IndivPL+MLMedit15_RUN_000053	05	8985.31	1	BYM
IndivPL+MLMedit15_RUN_000054	05	8990.89	1	BYM
IndivPL+MLMedit15_RUN_000055	05	9044.96	1	BYM
IndivPL+MLMedit15_RUN_000056	05	9067.38	1	BYM
IndivPL+MLMedit15_RUN_000057	05	9021.27	1	BYM
IndivPL+MLMedit15_RUN_000058	05	9005.69	1	BYM
IndivPL+MLMedit15_RUN_000059	05	8922.5	1	BYM
IndivPL+MLMedit15_RUN_000060	05	8979.75	1	BYM
IndivPL+MLMedit15_RUN_000061	06	9003.27	1	BYM
IndivPL+MLMedit15_RUN_000062	06	8957.65	1	BYM
IndivPL+MLMedit15_RUN_000063	06	8990.43	1	BYM
IndivPL+MLMedit15_RUN_000064	06	9025.27	1	BYM
IndivPL+MLMedit15_RUN_000065	06	9027.93	1	BYM
IndivPL+MLMedit15_RUN_000066	06	8907.03	1	BYM
IndivPL+MLMedit15_RUN_000067	06	8899.81	1	BYM
IndivPL+MLMedit15_RUN_000068	06	8914.91	1	BYM
IndivPL+MLMedit15_RUN_000069	06	8994.02	1	BYM
IndivPL+MLMedit15_RUN_000070	06	8952.1	1	BYM
IndivPL+MLMedit15_RUN_000071	06	9006.96	1	BYM
IndivPL+MLMedit15_RUN_000072	06	8946.23	1	BYM
IndivPL+MLMedit15_RUN_000073	06	8976.27	1	BYM
IndivPL+MLMedit15_RUN_000074	06	8904.35	1	BYM
IndivPL+MLMedit15_RUN_000075	06	9021.64	1	BYM
IndivPL+MLMedit15_RUN_000076	07	8750.47	1	BYM
IndivPL+MLMedit15_RUN_000077	07	8964.94	1	BYM
IndivPL+MLMedit15_RUN_000078	07	9008.17	1	BYM
IndivPL+MLMedit15_RUN_000079	07	8875.85	1	BYM
IndivPL+MLMedit15_RUN_000080	07	8824.59	1	BYM
IndivPL+MLMedit15_RUN_000081	07	8804.8	1	BYM
IndivPL+MLMedit15_RUN_000082	07	8744.93	1	BYM
IndivPL+MLMedit15_RUN_000083	07	8803.92	1	BYM
IndivPL+MLMedit15_RUN_000084	07	9029.55	1	BYM
IndivPL+MLMedit15_RUN_000085	07	9003.75	1	BYM
IndivPL+MLMedit15_RUN_000086	07	8814.61	1	BYM
IndivPL+MLMedit15_RUN_000087	07	8805.26	1	BYM
IndivPL+MLMedit15_RUN_000088	07	8888.7	1	BYM
IndivPL+MLMedit15_RUN_000089	07	9007.68	1	BYM
IndivPL+MLMedit15_RUN_000090	07	8910.31	1	BYM
IndivPL+MLMedit15_RUN_000091	08	9009.44	1	BYM
IndivPL+MLMedit15_RUN_000092	08	8710.83	1	BYM
IndivPL+MLMedit15_RUN_000093	08	8797.19	1	BYM
IndivPL+MLMedit15_RUN_000094	08	8987.87	1	BYM
IndivPL+MLMedit15_RUN_000095	08	8973.36	1	BYM
IndivPL+MLMedit15_RUN_000096	08	8791.14	1	BYM
IndivPL+MLMedit15_RUN_000097	08	8711.94	1	BYM
IndivPL+MLMedit15_RUN_000098	08	8874.47	1	BYM
IndivPL+MLMedit15_RUN_000099	08	8767.23	1	BYM
IndivPL+MLMedit15_RUN_000100	08	8820.87	1	BYM
IndivPL+MLMedit15_RUN_000101	08	8789.36	1	BYM
IndivPL+MLMedit15_RUN_000102	08	8745.94	1	BYM
IndivPL+MLMedit15_RUN_000103	08	8767.3	1	BYM
IndivPL+MLMedit15_RUN_000104	08	8974.83	1	BYM
IndivPL+MLMedit15_RUN_000105	08	8970.46	1	BYM
IndivPL+MLMedit15_RUN_000106	09	8798.47	1	BYM
IndivPL+MLMedit15_RUN_000107	09	8927.97	1	BYM
IndivPL+MLMedit15_RUN_000108	09	8992.46	1	BYM
IndivPL+MLMedit15_RUN_000109	09	9071.49	1	BYM
IndivPL+MLMedit15_RUN_000110	09	8843.28	1	BYM
IndivPL+MLMedit15_RUN_000111	09	8794.33	1	BYM
IndivPL+MLMedit15_RUN_000112	09	8774.11	1	BYM
IndivPL+MLMedit15_RUN_000113	09	8951.49	1	BYM
IndivPL+MLMedit15_RUN_000114	09	8748.69	1	BYM
IndivPL+MLMedit15_RUN_000115	09	8813.16	1	BYM
IndivPL+MLMedit15_RUN_000116	09	8840.67	1	BYM
IndivPL+MLMedit15_RUN_000117	09	8810.1	1	BYM
IndivPL+MLMedit15_RUN_000118	09	8769.12	1	BYM
IndivPL+MLMedit15_RUN_000119	09	8783.53	1	BYM
IndivPL+MLMedit15_RUN_000120	09	8696.57	1	BYM
IndivPL+MLMedit15_RUN_000121	10	8824.43	1	BYM
IndivPL+MLMedit15_RUN_000122	10	8837.31	1	BYM
IndivPL+MLMedit15_RUN_000123	10	8832.36	1	BYM
IndivPL+MLMedit15_RUN_000124	10	8749.16	1	BYM
IndivPL+MLMedit15_RUN_000125	10	8953.27	1	BYM
IndivPL+MLMedit15_RUN_000126	10	8949.29	1	BYM
IndivPL+MLMedit15_RUN_000127	10	8834.9	1	BYM
IndivPL+MLMedit15_RUN_000128	10	8831.17	1	BYM
IndivPL+MLMedit15_RUN_000129	10	8859.47	1	BYM
IndivPL+MLMedit15_RUN_000130	10	8718.82	1	BYM
IndivPL+MLMedit15_RUN_000131	10	8866.78	1	BYM
IndivPL+MLMedit15_RUN_000132	10	8906.58	1	BYM
IndivPL+MLMedit15_RUN_000133	10	8775.51	1	BYM
IndivPL+MLMedit15_RUN_000134	10	8942.66	1	BYM
IndivPL+MLMedit15_RUN_000135	10	8731.94	1	BYM
IndivPL+MLMedit15_RUN_000136	11	8903.97	1	BYM
IndivPL+MLMedit15_RUN_000137	11	8856.95	1	BYM
IndivPL+MLMedit15_RUN_000138	11	8550.38	1	BYM
IndivPL+MLMedit15_RUN_000139	11	8946.32	1	BYM
IndivPL+MLMedit15_RUN_000140	11	8810.57	1	BYM
IndivPL+MLMedit15_RUN_000141	11	8807.13	1	BYM
IndivPL+MLMedit15_RUN_000142	11	8951.55	1	BYM
IndivPL+MLMedit15_RUN_000143	11	8644.97	1	BYM
IndivPL+MLMedit15_RUN_000144	11	8863.74	1	BYM
IndivPL+MLMedit15_RUN_000145	11	8764.87	1	BYM
IndivPL+MLMedit15_RUN_000146	11	8685.65	1	BYM
IndivPL+MLMedit15_RUN_000147	11	8759.91	1	BYM
IndivPL+MLMedit15_RUN_000148	11	8794.75	1	BYM
IndivPL+MLMedit15_RUN_000149	11	8707.32	1	BYM
IndivPL+MLMedit15_RUN_000150	11	8724.36	1	BYM
IndivPL+MLMedit15_RUN_000151	12	8863.2	1	BYM
IndivPL+MLMedit15_RUN_000152	12	8621.45	1	BYM
IndivPL+MLMedit15_RUN_000153	12	8751.44	1	BYM
IndivPL+MLMedit15_RUN_000154	12	8844.36	1	BYM
IndivPL+MLMedit15_RUN_000155	12	8844.62	1	BYM
IndivPL+MLMedit15_RUN_000156	12	8704.82	1	BYM
IndivPL+MLMedit15_RUN_000157	12	8768.22	1	BYM
IndivPL+MLMedit15_RUN_000158	12	8948.34	1	BYM
IndivPL+MLMedit15_RUN_000159	12	9042.31	1	BYM
IndivPL+MLMedit15_RUN_000160	12	8834.41	1	BYM
IndivPL+MLMedit15_RUN_000161	12	8804.96	1	BYM
IndivPL+MLMedit15_RUN_000162	12	8665.59	1	BYM
IndivPL+MLMedit15_RUN_000163	12	8748.22	1	BYM
IndivPL+MLMedit15_RUN_000164	12	9006.28	1	BYM
IndivPL+MLMedit15_RUN_000165	12	8808.64	1	BYM
IndivPL+MLMedit15_RUN_000166	13	8779.48	1	BYM
IndivPL+MLMedit15_RUN_000167	13	8848.11	1	BYM
IndivPL+MLMedit15_RUN_000168	13	8917.09	1	BYM
IndivPL+MLMedit15_RUN_000169	13	8911.55	1	BYM
IndivPL+MLMedit15_RUN_000170	13	8894.29	1	BYM
IndivPL+MLMedit15_RUN_000171	13	8734.24	1	BYM
IndivPL+MLMedit15_RUN_000172	13	8857.75	1	BYM
IndivPL+MLMedit15_RUN_000173	13	8743.08	1	BYM
IndivPL+MLMedit15_RUN_000174	13	8806.85	1	BYM
IndivPL+MLMedit15_RUN_000175	13	8730.74	1	BYM
IndivPL+MLMedit15_RUN_000176	13	8925.98	1	BYM
IndivPL+MLMedit15_RUN_000177	13	8729.55	1	BYM
IndivPL+MLMedit15_RUN_000178	13	8893.6	1	BYM
IndivPL+MLMedit15_RUN_000179	13	8913.26	1	BYM
IndivPL+MLMedit15_RUN_000180	13	8896.49	1	BYM
IndivPL+MLMedit15_RUN_000181	14	9074.44	1	BYM
IndivPL+MLMedit15_RUN_000182	14	8743.7	1	BYM
IndivPL+MLMedit15_RUN_000183	14	8727.06	1	BYM
IndivPL+MLMedit15_RUN_000184	14	8833.01	1	BYM
IndivPL+MLMedit15_RUN_000185	14	8842.26	1	BYM
IndivPL+MLMedit15_RUN_000186	14	8693.98	1	BYM
IndivPL+MLMedit15_RUN_000187	14	8935.61	1	BYM
IndivPL+MLMedit15_RUN_000188	14	8814.09	1	BYM
IndivPL+MLMedit15_RUN_000189	14	8858.52	1	BYM
IndivPL+MLMedit15_RUN_000190	14	8968.9	1	BYM
IndivPL+MLMedit15_RUN_000191	14	8805.05	1	BYM
IndivPL+MLMedit15_RUN_000192	14	8732.66	1	BYM
IndivPL+MLMedit15_RUN_000193	14	8889.32	1	BYM
IndivPL+MLMedit15_RUN_000194	14	8882.32	1	BYM
IndivPL+MLMedit15_RUN_000195	14	8884.62	1	BYM
IndivPL+MLMedit15_RUN_000196	15	8955.38	1	BYM
IndivPL+MLMedit15_RUN_000197	15	8757.71	1	BYM
IndivPL+MLMedit15_RUN_000198	15	8750.04	1	BYM
IndivPL+MLMedit15_RUN_000199	15	8819.34	1	BYM
IndivPL+MLMedit15_RUN_000200	15	8750.8	1	BYM
IndivPL+MLMedit15_RUN_000201	15	8820.57	1	BYM
IndivPL+MLMedit15_RUN_000202	15	8800.26	1	BYM
IndivPL+MLMedit15_RUN_000203	15	8889.48	1	BYM
IndivPL+MLMedit15_RUN_000204	15	8684.06	1	BYM
IndivPL+MLMedit15_RUN_000205	15	8988.63	1	BYM
IndivPL+MLMedit15_RUN_000206	15	8773.98	1	BYM
IndivPL+MLMedit15_RUN_000207	15	8637.67	1	BYM
IndivPL+MLMedit15_RUN_000208	15	8810.41	1	BYM
IndivPL+MLMedit15_RUN_000209	15	8901.75	1	BYM
IndivPL+MLMedit15_RUN_000210	15	8956.35	1	BYM
